"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"J7","CON_FCI_10056847-101LF","15.9mm","43mm","15.9mm","43mm","19.3mm","47.1mm","T","180.00","10056847-101LF"
"C1","C0805_M","16.415mm","7.931mm","16.415mm","7.931mm","17.29mm","7.931mm","T","180.00","10nF/50V/0805/10%"
"C2","C0603_M","4.826mm","41.783mm","4.826mm","41.783mm","4.826mm","41.008mm","T","90.00","1uF/10V/0603/10%"
"C3","C0805_M","10.319mm","7.804mm","10.319mm","7.804mm","11.194mm","7.804mm","T","180.00","10nF/50V/0805/10%"
"TVS1","C0603_M","43.4mm","25.6mm","43.4mm","25.6mm","43.4mm","24.825mm","T","90.00","82356050560"
"C5","C0402_H","10.7mm","31.115mm","10.7mm","31.115mm","11.2mm","31.115mm","T","180.00","10nF/25V/0402/10%"
"TVS3","C0603_M","31.5mm","31.7mm","31.5mm","31.7mm","30.725mm","31.7mm","T","0.00","82356050560"
"C7","C0402_H","3.134mm","7.993mm","3.134mm","7.993mm","2.634mm","7.993mm","T","360.00","100nF/16V/0402/10%"
"C8","C0603_M","4.985mm","15.367mm","4.985mm","15.367mm","4.985mm","16.142mm","T","270.00","18pF/50V/0603/5%"
"C9","C0603_M","10.827mm","15.24mm","10.827mm","15.24mm","10.827mm","14.465mm","T","90.00","18pF/50V/0603/5%"
"TVS2","C0603_M","39.092mm","27.164mm","39.092mm","27.164mm","38.317mm","27.164mm","T","360.00","82356050560"
"C11","C0402_H","19.59mm","27.432mm","19.59mm","27.432mm","19.59mm","27.932mm","T","270.00","100nF/16V/0402/10%"
"C12","C0402_H","16.415mm","18.542mm","16.415mm","18.542mm","16.915mm","18.542mm","T","180.00","100nF/16V/0402/10%"
"C13","C0402_H","7.017mm","22.225mm","7.017mm","22.225mm","7.017mm","22.725mm","T","270.00","100nF/16V/0402/10%"
"C14","C0402_H","5.366mm","27.94mm","5.366mm","27.94mm","5.866mm","27.94mm","T","180.00","100nF/16V/0402/10%"
"C15","C0603_H","5.366mm","26.797mm","5.366mm","26.797mm","6.041mm","26.797mm","T","180.00","4.7uF/10V/0603/10%"
"C16","C0402_H","5.366mm","25.654mm","5.366mm","25.654mm","5.866mm","25.654mm","T","180.00","100nF/16V/0402/10%"
"C17","C0603_H","9.176mm","10.344mm","9.176mm","10.344mm","9.176mm","11.019mm","T","270.00","4.7uF/10V/0603/10%"
"C18","C0402_H","5.366mm","28.956mm","5.366mm","28.956mm","5.866mm","28.956mm","T","180.00","100nF/16V/0402/10%"
"C19","C0402_H","5.366mm","29.972mm","5.366mm","29.972mm","5.866mm","29.972mm","T","180.00","100nF/16V/0402/10%"
"C20","C0402_H","29.083mm","20.955mm","29.083mm","20.955mm","29.083mm","21.455mm","T","270.00","100nF/16V/0402/10%"
"C21","C0402_H","26.194mm","9.652mm","26.194mm","9.652mm","26.694mm","9.652mm","T","180.00","100nF/16V/0402/10%"
"C22","C0402_H","42.118mm","5.524mm","42.118mm","5.524mm","42.118mm","5.024mm","T","90.00","100nF/16V/0402/10%"
"C23","C0402_H","11.589mm","18.288mm","11.589mm","18.288mm","11.089mm","18.288mm","T","360.00","100nF/16V/0402/10%"
"C25","C0402_H","14.764mm","18.161mm","14.764mm","18.161mm","14.764mm","17.661mm","T","90.00","100nF/16V/0402/10%"
"C27","C0402_H","23.273mm","10.16mm","23.273mm","10.16mm","23.273mm","9.66mm","T","90.00","100nF/16V/0402/10%"
"C28","C0402_H","21.014mm","14.794mm","21.014mm","14.794mm","20.514mm","14.794mm","T","360.00","100nF/16V/0402/10%"
"C29","C0402_H","35.941mm","19.558mm","35.941mm","19.558mm","36.441mm","19.558mm","T","180.00","100nF/16V/0402/10%"
"C30","C0402_H","37.338mm","23.241mm","37.338mm","23.241mm","37.338mm","23.741mm","T","270.00","100nF/16V/0402/10%"
"C31","C0402_H","35.474mm","8.383mm","35.474mm","8.383mm","34.974mm","8.383mm","T","360.00","100nF/16V/0402/10%"
"CK1","C0603_M","10.7mm","10.344mm","10.7mm","10.344mm","10.7mm","11.119mm","T","270.00","600@100MHz/1A/0603"
"CK2","C0603_M","5.62mm","19.558mm","5.62mm","19.558mm","5.62mm","20.333mm","T","270.00","600@100MHz/1A/0603"
"CK3","C0603_M","17.431mm","16.256mm","17.431mm","16.256mm","17.431mm","17.031mm","T","270.00","600@100MHz/1A/0603"
"FID1","FID_1MM","5mm","5mm","5mm","5mm","5mm","5mm","T","90.00","Fiducial"
"FID2","FID_1MM","44.5mm","44.5mm","44.5mm","44.5mm","44.5mm","44.5mm","T","90.00","Fiducial"
"FID3","FID_1MM","44.5mm","5mm","44.5mm","5mm","44.5mm","5mm","T","90.00","Fiducial"
"J1","CON_WE_61300311121","2.1mm","35.5mm","2.1mm","35.5mm","2.1mm","32.96mm","T","90.00","61300311121"
"J2","CON_FCI_10118192","13.2mm","2.9375mm","13.2mm","1.6mm","11.9mm","4.275mm","T","360.00","10118192-0001LF"
"J3","CON_WE_61300211121","4.15mm","47.2mm","4.15mm","47.2mm","5.42mm","47.2mm","T","180.00","61300211121"
"J5","CON_WE_61201021621","38.57mm","38.82mm","38.57mm","38.82mm","39.84mm","33.74mm","T","90.00","61201021621"
"J6","CON_WE_61200621621","28.63mm","41.36mm","28.63mm","41.36mm","29.9mm","38.82mm","T","90.00","61200621621"
"LD1","LED_WL-SMCW_1206","6.95mm","42.4mm","6.95mm","42.4mm","6.95mm","43.9mm","T","90.00","Red"
"LD2","LED_WL-SMCW_1206","6.95mm","33.15mm","6.95mm","33.15mm","6.95mm","31.65mm","T","270.00","Red"
"Q1","SOT23-3_H","2.445mm","43.815mm","2.445mm","43.815mm","1.495mm","42.915mm","T","90.00","FDV304P"
"Q2","SOT23-3_H","26.067mm","27.559mm","26.067mm","27.559mm","25.117mm","26.659mm","T","90.00","BSS138"
"Q3","SOT23-3_H","41.443mm","11.812mm","41.443mm","11.812mm","42.343mm","10.862mm","T","180.00","BSS138"
"Q4","SOT23-3_H","26.888mm","17.842mm","26.888mm","17.842mm","27.788mm","16.892mm","T","180.00","BSS138"
"Q5","SOT23-3_H","39.878mm","17.261mm","39.878mm","17.261mm","38.928mm","16.361mm","T","90.00","BSS138"
"R1","C0603_M","16.669mm","9.836mm","16.669mm","9.836mm","17.444mm","9.836mm","T","180.00","100K/1%/0603"
"R2","C0603_M","2.445mm","41.402mm","2.445mm","41.402mm","3.22mm","41.402mm","T","180.00","10K/1%/0603"
"R3","C0603_M","8.85mm","38.3mm","8.85mm","38.3mm","8.85mm","39.075mm","T","270.00","1K/1%/0603"
"R4","C0603_M","26.067mm","25.019mm","26.067mm","25.019mm","25.292mm","25.019mm","T","360.00","10K/1%/0603"
"R5","C0603_M","38.903mm","10.923mm","38.903mm","10.923mm","38.903mm","10.148mm","T","90.00","10K/1%/0603"
"R6","C0603_M","43.983mm","11.685mm","43.983mm","11.685mm","43.983mm","10.91mm","T","90.00","10K/1%/0603"
"R7","C0603_M","36.4mm","3.9mm","36.4mm","3.9mm","37.175mm","3.9mm","T","180.00","100R/1%/0603"
"R8","C0603_M","10.192mm","32.385mm","10.192mm","32.385mm","10.967mm","32.385mm","T","180.00","10K/1%/0603"
"R9","C0603_M","30.2mm","11.1mm","30.2mm","11.1mm","29.425mm","11.1mm","T","360.00","100R/1%/0603"
"R10","C0603_M","12.351mm","15.24mm","12.351mm","15.24mm","12.351mm","14.465mm","T","90.00","12K/1%/0603"
"R11","C0603_M","3.515mm","6.723mm","3.515mm","6.723mm","2.74mm","6.723mm","T","360.00","10K/1%/0603"
"R12","C0603_M","3.272mm","18.996mm","3.272mm","18.996mm","4.047mm","18.996mm","T","180.00","10K/1%/0603"
"R13","C0603_M","3.3mm","21mm","3.3mm","21mm","4.075mm","21mm","T","180.00","10K/1%/0603"
"R14","C0402_H","5.928mm","10.406mm","5.928mm","10.406mm","5.928mm","9.906mm","T","90.00","2.2K/1%/0402"
"R15","C0603_M","24.348mm","18.223mm","24.348mm","18.223mm","24.348mm","17.448mm","T","90.00","10K/1%/0603"
"R16","C0603_M","32.6mm","24.6mm","32.6mm","24.6mm","32.6mm","23.825mm","T","90.00","100R/1%/0603"
"R20","C0603_M","40.767mm","19.685mm","40.767mm","19.685mm","41.542mm","19.685mm","T","180.00","10K/1%/0603"
"R21","C0603_M","21.876mm","27.305mm","21.876mm","27.305mm","21.876mm","28.08mm","T","270.00","1K/1%/0603"
"R22","C0603_M","18.796mm","30.067mm","18.796mm","30.067mm","19.571mm","30.067mm","T","180.00","1K/1%/0603"
"R23","C0603_M","18.796mm","31.464mm","18.796mm","31.464mm","19.571mm","31.464mm","T","180.00","1K/1%/0603"
"R24","C0603_M","10.192mm","35.433mm","10.192mm","35.433mm","9.417mm","35.433mm","T","360.00","1K/1%/0603"
"R25","C0603_M","10.192mm","33.909mm","10.192mm","33.909mm","10.967mm","33.909mm","T","180.00","1K/1%/0603"
"U1","SOT-666_M","13.121mm","10.053mm","13.121mm","10.053mm","12.621mm","9.328mm","T","90.00","USBLC6-2P6"
"U2","TSOP5-ON","35.601mm","10.796mm","35.601mm","10.796mm","36.951mm","9.846mm","T","180.00","M74VHC1GT125DT1G"
"U3","TSOP5-ON","39.705mm","5.524mm","39.705mm","5.524mm","40.655mm","6.874mm","T","270.00","M74VHC1GT125DT1G"
"U4","LQFP48_P50_M-STM","13.252mm","24.858mm","13.252mm","24.858mm","10.502mm","20.633mm","T","90.00","FT232HL"
